,Address,"Town, State",Price,Beds,Sqft,Baths
0,3406 Oakmont Dr,"Midland, TX","$314,900",4,"2,137",3
1,4202 Thornberry Dr,"Midland, TX","$230,000",3,"1,469",2
2,1901 Pagewood Dr,"Midland, TX","$810,000",4,"4,094",4
3,3107 Gulf Ave,"Midland, TX","$675,000",4,"3,285",4
4,4504 Falcon Pl,"Midland, TX","$299,000",3,"1,849",2
5,6113 Turtle Creek Rd,"Midland, TX","$533,000",4,"2,964",3
6,7 Cambridge Ct,"Midland, TX","$350,000",4,"2,609",3
7,6711 Victory Pkwy,"Midland, TX","$285,000",4,"1,822",2
8,4406 Navasota Dr,"Midland, TX","$421,500",4,"2,348",2
9,7201 E County Road 113,"Midland, TX","$1,500,000",6,"4,964",6
10,3215 Ranchland Dr,"Midland, TX","$259,900",3,"1,671",2
11,2405 Fannin Ave,"Midland, TX","$280,000",3,"1,992",2
12,202 N Eisenhower Dr,"Midland, TX","$150,000",4,"1,868",2
13,4505 Princeton Ave,"Midland, TX","$224,000",5,"1,860",2
14,4601 Wilshire Dr,"Midland, TX","$162,000",4,"1,741",2
15,10706 E County Road 105,"Midland, TX","$275,000",3,"1,447",2
16,9711 S County Road 1213,"Midland, TX","$360,000",4,"2,160",2
17,Daybreak Estates,"Midland, TX","$298,990",3,"1,876",2
18,4726 Harvard Ave,"Midland, TX","$215,000",3,"1,424",2
19,3105 Southridge Ct,"Midland, TX","$260,000",3,"1,632",2
20,14140 Lariat Trl,"Gardendale, TX","$629,900",6,"3,840",6
21,1410 Whitaker St,"Midland, TX","$242,000",4,"2,991",3
22,2803 W Louisiana Ave,"Midland, TX","$144,900",3,"2,088",2
23,1920 Centerview,"Midland, TX","$545,000",5,"3,469",4
24,3109 Delano Ave,"Midland, TX","$200,000",3,"1,976",2
25,1001 S Mineola St,"Midland, TX","$239,000",3,"1,655",2
26,1 Amhurst Ct,"Midland, TX","$368,000",3,"2,456",3
27,903 Pine Ct,"Midland, TX","$305,000",3,"2,620",2
28,4307 Brookdale Dr,"Midland, TX","$104,900",3,"1,322",2
29,3029 Fredna Pl,"Midland, TX","$319,900",4,"2,454",3
30,3406 Oakmont Dr,"Midland, TX","$314,900",4,"2,137",3
31,4202 Thornberry Dr,"Midland, TX","$230,000",3,"1,469",2
32,1901 Pagewood Dr,"Midland, TX","$810,000",4,"4,094",4
33,3107 Gulf Ave,"Midland, TX","$675,000",4,"3,285",4
34,4504 Falcon Pl,"Midland, TX","$299,000",3,"1,849",2
35,6113 Turtle Creek Rd,"Midland, TX","$533,000",4,"2,964",3
36,7 Cambridge Ct,"Midland, TX","$350,000",4,"2,609",3
37,6711 Victory Pkwy,"Midland, TX","$285,000",4,"1,822",2
38,4406 Navasota Dr,"Midland, TX","$421,500",4,"2,348",2
39,7201 E County Road 113,"Midland, TX","$1,500,000",6,"4,964",6
40,3215 Ranchland Dr,"Midland, TX","$259,900",3,"1,671",2
41,2405 Fannin Ave,"Midland, TX","$280,000",3,"1,992",2
42,202 N Eisenhower Dr,"Midland, TX","$150,000",4,"1,868",2
43,4505 Princeton Ave,"Midland, TX","$224,000",5,"1,860",2
44,4601 Wilshire Dr,"Midland, TX","$162,000",4,"1,741",2
45,10706 E County Road 105,"Midland, TX","$275,000",3,"1,447",2
46,9711 S County Road 1213,"Midland, TX","$360,000",4,"2,160",2
47,Daybreak Estates,"Midland, TX","$298,990",3,"1,876",2
48,4726 Harvard Ave,"Midland, TX","$215,000",3,"1,424",2
49,3105 Southridge Ct,"Midland, TX","$260,000",3,"1,632",2
50,14140 Lariat Trl,"Gardendale, TX","$629,900",6,"3,840",6
51,1410 Whitaker St,"Midland, TX","$242,000",4,"2,991",3
52,2803 W Louisiana Ave,"Midland, TX","$144,900",3,"2,088",2
53,1920 Centerview,"Midland, TX","$545,000",5,"3,469",4
54,3109 Delano Ave,"Midland, TX","$200,000",3,"1,976",2
55,1001 S Mineola St,"Midland, TX","$239,000",3,"1,655",2
56,1 Amhurst Ct,"Midland, TX","$368,000",3,"2,456",3
57,903 Pine Ct,"Midland, TX","$305,000",3,"2,620",2
58,4307 Brookdale Dr,"Midland, TX","$104,900",3,"1,322",2
59,3029 Fredna Pl,"Midland, TX","$319,900",4,"2,454",3
60,3406 Oakmont Dr,"Midland, TX","$314,900",4,"2,137",3
61,4202 Thornberry Dr,"Midland, TX","$230,000",3,"1,469",2
62,1901 Pagewood Dr,"Midland, TX","$810,000",4,"4,094",4
63,3107 Gulf Ave,"Midland, TX","$675,000",4,"3,285",4
64,4504 Falcon Pl,"Midland, TX","$299,000",3,"1,849",2
65,6113 Turtle Creek Rd,"Midland, TX","$533,000",4,"2,964",3
66,7 Cambridge Ct,"Midland, TX","$350,000",4,"2,609",3
67,6711 Victory Pkwy,"Midland, TX","$285,000",4,"1,822",2
68,4406 Navasota Dr,"Midland, TX","$421,500",4,"2,348",2
69,7201 E County Road 113,"Midland, TX","$1,500,000",6,"4,964",6
70,3215 Ranchland Dr,"Midland, TX","$259,900",3,"1,671",2
71,2405 Fannin Ave,"Midland, TX","$280,000",3,"1,992",2
