,Address,"Town, State",Price,Beds,Sqft,Baths,Garage,Backyard,Basement
48,540 Kess Way,"Lemmon Valley, Reno, NV","$299,950 ",3,"1,296",2,TRUE,TRUE,FALSE
49,9644 Rolling Rock Way,"South Reno, Reno, NV","$474,900 ",3,"1,923",2,TRUE,TRUE,FALSE
50,10085 Eagles Landing Ct,"South Reno, Reno, NV","$429,000 ",3,"1,362",2,TRUE,TRUE,FALSE
51,9050 Rising Sun Dr,"North Valleys, Reno, NV","$325,000 ",4,"2,475",3,TRUE,FALSE,FALSE
52,1923 E Minaret Cir,"Northwest, Reno, NV","$285,000 ",3,"1,048",2,TRUE,FALSE,FALSE
53,3065 Bonfire Ln,"South Reno, Reno, NV","$725,000 ",4,"2,724",3,TRUE,TRUE,FALSE
54,1407 Doric Dr,"Old Northwest - West University, Reno, NV","$395,000 ",3,"1,669",3,TRUE,TRUE,FALSE
55,311 Cheney St,"East Reno, Reno, NV","$475,000 ",2,962,1,TRUE,TRUE,FALSE
56,2746 Caballo Dr,"East Reno, Reno, NV","$325,000 ",2,"1,044",2,TRUE,TRUE,FALSE
57,550 Ferol Way,"Old Northwest - West University, Reno, NV","$359,900 ",3,"1,336",2,TRUE,TRUE,FALSE
58,1576 Reno View Dr,"Southwest, Reno, NV","$439,000 ",4,"1,706",3,TRUE,TRUE,FALSE
59,10318 Bronze Wood Ct,"South Reno, Reno, NV","$479,900 ",3,"1,884",2,TRUE,TRUE,FALSE
60,1005 Joy Lake Rd,"Reno, NV","$1,195,000 ",3,"3,520",3,TRUE,FALSE,FALSE
61,2495 Spring Flower Dr,"South Reno, Reno, NV","$465,000 ",3,"1,697",2,TRUE,TRUE,FALSE
62,1375 Softwood Cir,"North Valleys, Reno, NV","$225,000 ",3,"1,455",2,TRUE,TRUE,TRUE
63,2 Gamay Ln,"Northeast, Reno, NV","$189,900 ",2,"1,344",2,FALSE,TRUE,FALSE
64,522 Roberts St,"East Reno, Reno, NV","$175,000 ",3,"1,741",2,TRUE,FALSE,TRUE
65,7265 Wallsend Dr,"South Reno, Reno, NV","$400,000 ",5,"2,110",3,TRUE,TRUE,FALSE
66,600 Putnam Dr,"Old Northwest - West University, Reno, NV","$395,000 ",3,"1,528",2,TRUE,TRUE,FALSE
67,2070 Bayview Dr,"East Reno, Reno, NV","$599,000 ",4,"2,902",4,TRUE,TRUE,FALSE
68,1045 Beldon Way,"Old Northwest - West University, Reno, NV","$334,900 ",3,988,2,TRUE,TRUE,FALSE
69,5650 Ventana Pkwy,"Reno, NV","$1,349,900 ",4,"3,647",4,TRUE,TRUE,FALSE
70,1578 Gemtown Ct,"South Reno, Reno, NV","$678,000 ",5,"3,145",3,TRUE,TRUE,FALSE
71,8902 Dixon Ln,"South Central, Reno, NV","$360,000 ",3,"1,418",2,TRUE,FALSE,FALSE
72,3710 Coastal St,"Northeast, Reno, NV","$520,000 ",4,"2,431",3,TRUE,FALSE,FALSE
73,1675 Hunter Lake Dr,"Southwest, Reno, NV","$488,000 ",3,"1,416",2,TRUE,TRUE,FALSE
74,2075 S Marsh Ave,"Southwest, Reno, NV","$760,000 ",3,"2,142",2,TRUE,TRUE,FALSE
75,150 Piney Creek Rd,"Reno, NV","$1,100,000 ",5,"4,561",5,TRUE,TRUE,FALSE
76,9470 Baldacci Rd,"East Reno, Reno, NV","$624,900 ",3,"2,369",3,TRUE,TRUE,FALSE
77,13021 Exinite Dr,"North Valleys, Reno, NV","$295,000 ",3,"1,008",2,TRUE,TRUE,FALSE
78,540 Kess Way,"Lemmon Valley, Reno, NV","$299,950 ",3,"1,296",2,TRUE,TRUE,FALSE
79,9644 Rolling Rock Way,"South Reno, Reno, NV","$474,900 ",3,"1,923",2,TRUE,TRUE,FALSE
80,10085 Eagles Landing Ct,"South Reno, Reno, NV","$429,000 ",3,"1,362",2,TRUE,FALSE,FALSE
81,9050 Rising Sun Dr,"North Valleys, Reno, NV","$325,000 ",4,"2,475",3,TRUE,TRUE,FALSE
82,1923 E Minaret Cir,"Northwest, Reno, NV","$285,000 ",3,"1,048",2,TRUE,TRUE,TRUE
83,3065 Bonfire Ln,"South Reno, Reno, NV","$725,000 ",4,"2,724",3,FALSE,TRUE,FALSE
84,1407 Doric Dr,"Old Northwest - West University, Reno, NV","$395,000 ",3,"1,669",3,TRUE,TRUE,TRUE
85,311 Cheney St,"East Reno, Reno, NV","$475,000 ",2,962,1,TRUE,TRUE,FALSE
86,2746 Caballo Dr,"East Reno, Reno, NV","$325,000 ",2,"1,044",2,TRUE,TRUE,FALSE
87,550 Ferol Way,"Old Northwest - West University, Reno, NV","$359,900 ",3,"1,336",2,TRUE,TRUE,FALSE
88,1576 Reno View Dr,"Southwest, Reno, NV","$439,000 ",4,"1,706",3,TRUE,TRUE,FALSE
89,10318 Bronze Wood Ct,"South Reno, Reno, NV","$479,900 ",3,"1,884",2,TRUE,TRUE,FALSE
